단지명,계약일자,거래금액,전용면적,층,건축년도,도로명
대림맨션,2023-01-06,13150,118.99,3,1989,돗골로
한림풀에버,2023-01-18,35500,84.9644,13,2015,소호로
포레나신진주,2023-01-11,39000,84.9515,19,2019,진주역로96번길
진주혁신도시대방노블랜드더캐슬아파트,2023-01-19,52200,84.9899,13,2018,사들로
금호석류,2023-01-13,20800,59.99,11,1999,강남로
신안주공3,2023-01-12,15000,49.96,5,1997,석갑로
들말한보타운,2023-01-17,35000,120.66,11,1997,평거로39번길
진주혁신도시중흥에스-클래스더프라임,2023-01-14,50500,97.7268,10,2019,소호로19번길
혁신도시엘에이치아파트9단지,2023-01-16,31000,59.97,18,2017,사들로
금산아이파크,2023-01-20,20500,84.17,9,2004,중천로
진주초장엠코타운더이스턴파크,2023-01-09,27900,73.556,10,2014,초북로
진주혁신도시중흥에스-클래스더프라임,2023-01-03,50000,97.7268,13,2019,소호로19번길
센트렐웰가,2023-01-15,47200,84.9222,16,2018,진주역로73번길
신안주공3,2023-01-20,15500,59.8,5,1997,석갑로
초전해모로루비채2단지,2023-01-09,31900,84.9671,8,2014,초북로
한보타운,2023-01-15,11250,84.6,2,1993,진양호로97번길
진주혁신도시중흥에스-클래스더퍼스트,2023-01-19,75000,99.864,11,2020,충의로
진주혁신도시중흥에스-클래스센트럴시티2단지,2023-01-04,64000,117.7407,24,2020,에나로
들말흥한타운,2023-01-20,28200,77.391,13,1998,석갑로
진주혁신도시중흥에스-클래스더퍼스트,2023-01-21,76900,113.4763,18,2020,충의로
가좌주공1차,2023-01-09,12000,41.3,6,1993,가호로
초전해모로루비채4단지,2023-01-13,40000,100.8994,27,2014,초북로
평거현대1,2023-01-19,15000,59.4,8,1993,평거로115번길
진주센트럴자이,2023-01-21,34500,84.956,15,2013,도동천로
고려,2023-01-25,6200,59.4,2,1994,동부로
한림풀에버,2023-01-03,41000,84.9644,16,2015,소호로
삼전프라자,2023-01-10,11500,59.94,12,1996,도동로
이현한주맨션,2023-01-11,9000,59.49,3,1987,서장대로278번길
한림풀에버,2023-01-14,32800,84.9088,3,2015,소호로
금호석류,2023-01-14,26000,84.87,14,1999,강남로
하영무지개맨션,2023-01-10,10000,59.38,3,1993,진양호로
대동디지털황토,2023-01-17,22000,84.6814,1,2003,가호로44번길
삼성,2023-01-19,15500,59.886,11,1996,동부로43번길
센트렐웰가,2023-01-12,44000,84.9222,7,2018,진주역로73번길
한보타워(하대1차),2023-01-02,7050,53.32,10,1992,모덕로306번길
진주혁신도시라온프라이빗아파트,2023-01-20,43000,84.9087,11,2017,대밭골로
금산아이파크,2023-01-12,18200,84.17,10,2004,중천로
들말대경,2023-01-19,18000,59.595,8,1998,석갑로53번길
진주혁신도시대방노블랜드더캐슬아파트,2023-01-18,55000,84.9899,14,2018,사들로
스카이시티프라디움,2023-01-16,42500,84.991,14,2019,개양로
진주혁신도시대방노블랜드더캐슬아파트,2023-01-10,49000,84.9474,5,2018,사들로
진주혁신도시라온프라이빗아파트,2023-01-14,40000,84.8922,20,2017,대밭골로
금산흥한골든빌,2023-01-14,14500,73.61,2,2002,금산로
이현주공,2023-01-18,18000,59.3,3,1983,서장대로
상봉1,2023-01-02,7500,40.44,2,1976,창렬로
한림풀에버,2023-01-13,34800,84.9644,19,2015,소호로
가좌주공1차,2023-01-12,14800,49.94,14,1993,가호로
한주,2023-01-09,7300,68.54,4,1989,공단로91번길
대경,2023-01-16,7500,59.85,8,1992,도동로264번길
현대,2023-01-14,13000,84.99,1,1991,모덕로181번길
진주혁신도시중흥에스-클래스센트럴시티2단지,2023-01-07,46500,84.9815,25,2020,에나로
가호에일린의뜰,2023-01-15,32200,77.8216,13,2012,강변길
진주정촌대경파미르,2023-01-08,28500,66.1957,18,2019,삼일로106번길
금산흥한골든빌,2023-01-16,10000,58.12,9,2002,금산로
신안주공3,2023-01-14,14800,59.8,1,1997,석갑로
혁신도시엘에이치아파트8단지,2023-01-09,27950,59.97,13,2015,사들로
들말한보타운,2023-01-11,29800,84.98,7,1997,평거로39번길
금산아이파크,2023-01-13,19100,84.17,6,2004,중천로
한보타워(하대1차),2023-01-11,7700,53.32,11,1992,모덕로306번길
한주럭키타운,2023-01-12,22700,84.81,1,1990,진주대로
금산흥한골든빌,2023-01-10,12100,58.12,14,2002,금산로
혁신도시엘에이치아파트9단지,2023-01-04,31000,59.97,18,2017,사들로
상대주공,2023-01-03,8000,41.52,3,1980,상대로
혁신도시엘에이치아파트8단지,2023-01-09,27700,59.97,14,2015,사들로
현대금빛마을,2023-01-11,7600,59.28,4,2000,진산로
진주혁신도시센텀리버파크,2023-01-04,33300,84.83,23,2013,사들로
현대,2023-01-03,21000,101.97,3,1996,하대로
들말한보타운,2023-01-10,29200,84.98,7,1997,평거로39번길
한보하이타운,2023-01-09,15800,78.81,17,1995,순환로553번길
상대진주(나동),2023-01-02,8500,84.99,2,1989,모덕로181번길
초전흥한,2023-01-06,20700,84.68,10,2001,초전남로
이지더원,2023-01-04,35700,73.2086,9,2018,초장로
진주강남동일동미라주,2023-01-02,30000,84.9831,4,2021,진주대로891번길
혁신도시엘에이치아파트9단지,2023-01-06,30000,59.97,13,2017,사들로
한보은빛마을,2023-01-03,25600,84.86,10,2002,천수로
혁신도시엘에이치아파트8단지,2023-01-05,27700,59.97,14,2015,사들로
혁신도시엘에이치아파트8단지,2023-01-05,27800,59.97,9,2015,사들로
진주혁신도시중흥에스-클래스더프라임,2023-02-25,49000,84.9912,16,2019,소호로19번길
진주혁신도시대방노블랜드더캐슬아파트,2023-02-27,60500,103.3591,10,2018,사들로
센트렐웰가,2023-02-26,49000,84.9222,32,2018,진주역로73번길
진주강남동일동미라주,2023-02-10,37900,84.9806,27,2021,진주대로891번길
들말대경,2023-02-13,18600,59.595,9,1998,석갑로53번길
금호석류,2023-02-23,32000,122.49,10,1999,강남로
두산위브,2023-02-28,21000,84.994,14,2009,중장로154번길
초전해모로루비채4단지,2023-02-11,33200,84.9671,15,2014,초북로
진주초장엠코타운더이스턴파크,2023-02-25,38000,101.5255,25,2014,초북로
초전해모로루비채4단지,2023-02-01,32400,84.9671,23,2014,초북로
힐스테이트초전,2023-02-23,41700,84.9351,17,2019,초북로
삼환나우빌,2023-02-28,52000,129.138,14,2009,진주대로829번길
금산흥한골든빌,2023-02-27,14950,73.61,6,2002,금산로
현대,2023-02-26,18800,84.945,5,1992,진양호로51번길
진주푸르지오1단지,2023-02-22,22300,84.9726,13,2007,덕의길
화인,2023-02-27,8800,59.48,11,1994,상봉대룡길
힐스테이트초전,2023-02-25,40800,84.9351,20,2019,초북로
진주혁신도시중흥에스-클래스더프라임,2023-02-25,49000,84.9912,16,2019,소호로19번길
금호석류,2023-02-23,32000,122.49,10,1999,강남로
혁신도시엘에이치아파트9단지,2023-02-14,29500,59.97,14,2017,사들로
망경한보타운,2023-02-17,11800,59.44,11,1997,망경로
망경한보타운,2023-02-27,12700,59.44,5,1997,망경로
한주한보,2023-02-17,12500,59.73,18,1995,망경로296번길
진주혁신도시중흥에스-클래스더프라임,2023-02-19,48500,84.9912,9,2019,소호로19번길
초전해모로루비채2단지,2023-02-28,42000,84.8022,19,2014,초북로
신안주공2,2023-02-25,11500,39.99,13,1996,신안들말길
하대주공,2023-02-27,8000,35.64,1,1982,상대로
하대주공,2023-02-27,10500,44.3,2,1982,상대로
문산한양하이빌,2023-02-20,13300,79.0,9,2001,월아산로
금산느티나무,2023-02-14,17200,84.74,8,2003,중천로
주공그린빌,2023-02-13,18500,59.27,10,2005,내동로348번길
두산위브,2023-02-28,21000,84.994,14,2009,중장로154번길
두산위브,2023-02-25,22000,84.994,7,2009,중장로154번길
진주혁신도시중흥에스-클래스더퍼스트,2023-02-25,72500,113.4763,14,2020,충의로
진주혁신도시중흥에스-클래스센트럴시티2단지,2023-02-20,56500,99.8723,28,2020,에나로
상봉1,2023-02-15,8350,40.473,5,1976,창렬로
초전해모로루비채4단지,2023-02-28,34000,100.8994,2,2014,초북로
화인,2023-02-28,6400,65.07,1,1994,상봉대룡길
들말대경,2023-02-22,26750,84.99,1,1998,석갑로53번길
동신,2023-02-17,6250,59.92,12,1992,광제산로
칠암대덕,2023-02-18,7100,29.67,5,2004,진주대로942번길
센트렐웰가,2023-02-28,46000,84.8133,10,2018,진주역로73번길
동국강변타워2,2023-02-25,7200,59.8,1,1992,돗골로19번길
현대,2023-02-23,12400,82.56,6,1985,강남로255번길
현대,2023-02-25,12000,59.89,1,1996,하대로
휴앤인엘리시움,2023-02-10,37000,84.8578,9,2019,에나로
두산위브,2023-02-13,39000,170.356,5,2009,중장로154번길
상대한보타운,2023-02-28,15000,59.88,13,2002,도동천로
더퀸즈웰가,2023-02-27,30400,58.4018,11,2015,새평거로
진주혁신도시대방노블랜드더캐슬아파트,2023-02-25,64700,103.9623,15,2018,사들로
신안주공2,2023-02-28,14900,49.97,13,1996,신안들말길
월산아크로빌,2023-02-25,8600,59.7992,5,2005,공치고개길
혁신도시엘에이치아파트8단지,2023-02-27,26000,59.97,6,2015,사들로
제일풍경채,2023-02-24,42000,110.7705,11,2007,가좌안골길21번길
엠코타운더프라하,2023-02-23,40000,84.933,5,2014,새평거로
엠코타운더프라하,2023-02-27,43000,84.933,17,2014,새평거로
진주평거엘크루,2023-02-23,45500,84.9195,5,2016,새평거로
진주혁신도시대방노블랜드더캐슬아파트,2023-02-27,60500,103.3591,10,2018,사들로
고려,2023-02-27,5800,59.4,5,1994,동부로
진주혁신도시대방노블랜드더캐슬아파트,2023-02-19,67500,103.9623,13,2018,사들로
금산아이파크,2023-02-26,22900,84.17,16,2004,중천로
혁신도시엘에이치아파트8단지,2023-02-27,27000,59.97,19,2015,사들로
진주혁신코오롱하늘채,2023-02-28,32000,75.84,7,2014,사들로
동국강변타워2,2023-02-09,5900,59.8,1,1992,돗골로19번길
