단지명,계약일자,거래금액,전용면적,층,건축년도,도로명
,2023-12-25,10000,80.28,4,1987,서장대로393번길
,2023-12-14,7200,65.73,5,1986,모덕로64번길
,2023-12-22,8300,54.09,3,2017,하대로26번길
,2023-12-28,9000,84.15,2,1987,북장대로6번길
,2023-12-19,17000,124.7,3,1989,모덕로270번길
,2023-12-01,12700,81.52,1,1990,하대로106번길
,2023-12-12,15500,76.5349,4,2020,광제산로26번길
,2023-12-12,16600,81.7626,5,2020,광제산로26번길
,2023-12-12,16700,81.6426,6,2020,광제산로26번길
,2023-12-12,16700,81.6426,7,2020,광제산로26번길
,2023-12-12,15600,76.5349,8,2020,광제산로26번길
,2023-12-12,16300,81.6426,10,2020,광제산로26번길
,2023-12-08,11700,84.57,4,1989,하대로106번길
,2023-12-09,18700,84.6132,18,2007,중천로67번길
,2023-12-01,18000,84.6132,10,2007,중천로67번길
,2023-12-06,13000,84.64,2,1992,숙호산로
,2024-01-29,7700,59.94,1,1990,남강로1093번길
,2024-01-29,14800,83.2382,8,2007,월아산로1088번길
,2024-01-24,14000,104.8,1,1989,모덕로270번길
,2024-01-13,7500,68.31,5,1987,북장대로6번길
,2024-01-11,9700,65.2,1,1985,동진로
,2024-01-12,14900,48.06,5,2017,하대로26번길
,2024-01-11,10000,76.28,3,2001,대신로307번길
,2024-01-08,6900,77.21,3,1990,숙호산로
,2024-01-03,17600,84.86,9,1998,신안로
,2024-02-26,13200,59.94,5,2000,남강로736번길
,2024-02-28,6400,77.55,4,1989,숙호산로
,2024-02-24,18700,84.6132,7,2007,중천로67번길
,2024-02-13,3900,44.7,5,1990,남강로1093번길
,2024-02-22,18000,78.54,5,2002,촉석로50번길
,2024-02-29,6700,59.35,1,1990,남강로1069번길
,2024-02-29,7000,56.26,2,1990,하대로106번길
,2024-02-24,6500,66.24,1,1991,숙호산로
,2024-02-24,6800,82.3,5,1989,서장대로213번길
,2024-02-22,8300,82.77,5,1987,서장대로393번길
,2024-02-16,14000,81.5,4,2004,대신로299번길
,2024-02-28,17700,84.6974,5,2001,천수로298번길
,2024-02-22,5600,56.74,4,1991,말티고개로100번길
,2024-02-20,7500,59.87,2,1987,숙호산로
,2024-02-16,10300,80.24,2,1990,석갑로142번길
,2024-02-09,12500,58.284,7,2016,동부로1959번길
,2024-02-11,5810,84.81,2,2001,나불로
,2024-02-07,9700,84.81,2,2001,나불로
,2024-02-03,5300,44.7,2,1990,남강로1093번길
,2024-03-29,13000,119.15,1,1989,남강로539번길
